title,content,link,date,source_type,source_name
Военная операция на Украине. Онлайн,,https://tass.ru/armiya-i-opk/27004755,"Mon, 06 Apr 2026 00:00:00 +0300",website,tass.ru
Военная операция США и Израиля в Иране. Онлайн,"Любая наземная операция обречена на полный провал и поражение от армии Ирана, с таким предупреждением выступил генеральный штаб вооруженных сил исламской республики",https://tass.ru/mezhdunarodnaya-panorama/27004757,"Mon, 06 Apr 2026 00:00:01 +0300",website,tass.ru
Военная операция США и Израиля в Иране. Онлайн,,https://tass.ru/mezhdunarodnaya-panorama/27004757,"Mon, 06 Apr 2026 00:00:01 +0300",website,tass.ru
Космонавты на МКС поздравили россиян с началом Недели космоса,"Сергей Кудь-Сверчков отметил, что государство уделяет развитию космонавтики большое внимание",https://tass.ru/kosmos/27009649,"Mon, 06 Apr 2026 00:01:04 +0300",website,tass.ru
Космонавты на МКС поздравили россиян с началом Недели космоса,,https://tass.ru/kosmos/27009649,"Mon, 06 Apr 2026 00:01:04 +0300",website,tass.ru
Началась первая в России Неделя космоса,Приуроченные к ней мероприятия будут проходить до 12 апреля,https://tass.ru/obschestvo/27009635,"Mon, 06 Apr 2026 00:01:49 +0300",website,tass.ru
"Ефрейтор Колышкин эвакуировал раненых бойцов, отстреливаясь от дронов ВСУ",После спасения товарищей боец оказал им первую медицинскую помощь,https://tass.ru/armiya-i-opk/27009665,"Mon, 06 Apr 2026 00:03:32 +0300",website,tass.ru
Баканов: первые отечественные космонавты реализовали мечту человечества,"Глава Роскосмоса отметил, что люди веками мечтали отправиться к звездам",https://tass.ru/kosmos/27009657,"Mon, 06 Apr 2026 00:04:16 +0300",website,tass.ru
"Старший лейтенант Горев уничтожил дрон ""Баба-яга""","Благодаря профессиональным действиям военнослужащего и слаженным действиям личного состава взвода было ликвидировано три опорных пункта и два расчета FPV-дронов ВСУ, рассказали в Минобороны РФ",https://tass.ru/armiya-i-opk/27009663,"Mon, 06 Apr 2026 00:06:53 +0300",website,tass.ru
Концерт в честь Навруза в подмосковном Live Arena собрал 11 тыс. зрителей,"Хедлайнерами концерта стали популярный таджикский поп-певец Джонибек Муродов, таджикская примадонна Шабнами Сурайё, а также казахстанский певец, композитор и аранжировщик Парвиз Назаров",https://tass.ru/kultura/27009589,"Mon, 06 Apr 2026 00:07:01 +0300",website,tass.ru
